,Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Premium_Delivery
47,dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,600
48,wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00,Sunny,High ,scooter ,Metropolitian ,90,Shoes,600
49,dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,300
50,yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,600
51,dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,22:10:00,22:25:00,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,900
52,fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,600
53,mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,900
54,carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,300
55,msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,900
56,bbow373480117,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,20:35:00,20:50:00,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,900
57,vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,09:25:00,09:40:00,Windy,Low ,scooter ,Other,100,Shoes,900
58,etss702593505,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,20:15:00,20:20:00,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,300
59,rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,600
60,bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00,Sunny,Jam ,scooter ,Metropolitian ,110,Books,300
61,fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,900
62,udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,300
63,qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,900
64,cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00,Sandstorms,Low ,van,Metropolitian ,70,Shoes,600
65,ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,300
66,emlt327861941,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,600
67,rufz727804632,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,15:55:00,16:05:00,Fog,Medium ,scooter ,Urban ,80,Apparel,600
68,gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,300
69,tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00,Sunny,High ,scooter ,Urban ,90,Sports,300
70,xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,900
71,lgee738117860,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,22:10:00,22:15:00,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,300
72,nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,10:35:00,10:45:00,Fog,Low ,motorcycle ,Metropolitian ,85,Books,600
73,wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,00:05:00,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,900
74,bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,21:10:00,21:25:00,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,900
75,wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,900
76,jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,600
77,zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00,Windy,High ,van,Metropolitian ,140,Snacks,600
78,oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,900
79,dfit633531471,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,23:40:00,23:55:00,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,900
80,qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,300
81,mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18:20:00,18:25:00,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,300
82,jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,300
83,xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,600
84,hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21:55:00,22:10:00,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,900
85,gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00,Windy,High ,scooter ,Urban ,95,Snacks,300
86,wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00,Fog,Low ,motorcycle ,Urban ,210,Kitchen,900
87,vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,300
88,pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,900
89,caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,600
90,hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,300
91,uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,08:40:00,08:55:00,Cloudy,Low ,scooter ,Urban ,75,Books,900
92,sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00,Sunny,Medium ,van,Metropolitian ,75,Home,300
93,visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20:25:00,20:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,900
94,wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,300
95,pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00,Sandstorms,Low ,van,Metropolitian ,145,Clothing,600
96,last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,300
97,mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,900
98,kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,900
99,okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,Cloudy,Low ,scooter ,Urban ,19,Grocery,900
100,oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,600
101,rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00,Stormy,Low ,motorcycle ,Urban ,75,Books,900
102,tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,08:45:00,09:00:00,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,900
103,ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,900
104,lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00,Cloudy,Low ,scooter ,Urban ,110,Jewelry,300
105,ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00,Fog,Jam ,scooter ,Metropolitian ,210,Books,600
106,njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00,Sandstorms,Low ,scooter ,Urban ,60,Sports,900
107,drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,600
108,drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,900
109,qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00,Cloudy,Low ,scooter ,Metropolitian ,75,Books,900
110,hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,300
111,imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00,Windy,Jam ,motorcycle ,Metropolitian ,185,Books,300
112,wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,600
113,kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23:10:00,23:15:00,Sunny,Low ,van,Metropolitian ,65,Kitchen,300
114,alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,09:15:00,09:30:00,Cloudy,Low ,motorcycle ,Other,80,Sports,900
115,khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18:25:00,18:35:00,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,600
116,oiay843077855,20,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,22:10:00,22:20:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys,600
117,ohhc448549441,24,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,20:50:00,21:05:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry,900
118,knul324217390,39,4.2,22.761593,75.886362,22.871593,75.996362,2022-03-29,18:45:00,18:50:00,Fog,Medium ,scooter ,Metropolitian ,195,Clothing,300
119,buux572471968,37,4.8,11.026117,76.944652,11.066117,76.984652,2022-03-17,14:55:00,15:05:00,Sunny,High ,scooter ,Metropolitian ,90,Shoes,600
120,ieue797662723,32,4.9,13.064181,80.236442,13.104181,80.276442,2022-03-17,16:50:00,17:00:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books,600
121,eztk468187811,22,4.5,26.483042,80.317833,26.533042,80.367833,2022-02-15,22:20:00,22:35:00,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare,900
122,zzid436960558,23,4.9,11.000762,76.981876,11.130762,77.111876,2022-03-18,00:00:00,00:15:00,Windy,Low ,scooter ,Metropolitian ,90,Clothing,900
123,kllk327072475,33,4.7,23.359033,85.325347,23.469033,85.435347,2022-03-08,21:10:00,21:20:00,Fog,Jam ,scooter ,Metropolitian ,245,Apparel,600
124,uurs547552548,23,,22.569358,88.433452,22.599358,88.463452,2022-02-17,23:25:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,75,Snacks,600
125,ubwl989345056,27,4.6,12.914264,77.6784,12.994264,77.7584,2022-03-31,23:30:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies,300
126,iimu721647260,34,4.7,19.121999,72.908493,19.161999,72.948493,2022-03-01,14:20:00,14:35:00,Sunny,High ,scooter ,Metropolitian ,115,Toys,900
127,tfxz025621580,26,5.0,21.157729,72.768726,21.167729,72.778726,2022-04-03,10:15:00,10:25:00,Fog,Low ,scooter ,Urban ,55,Sports,600
128,kgjb145446786,31,4.6,22.311603,73.165012,22.371603,73.225012,2022-03-24,21:20:00,21:35:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks,900
129,xrxy085440961,32,4.9,18.536562,73.896485,18.556562,73.916485,2022-03-07,08:50:00,08:55:00,Fog,Low ,motorcycle ,Metropolitian ,90,Books,300
130,pnzt689957903,27,4.7,22.745536,75.893106,22.765536,75.913106,2022-03-09,09:00:00,09:05:00,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes,300
131,qrng205617369,21,4.9,12.933298,77.614293,13.023298,77.704293,2022-03-12,17:45:00,18:00:00,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies,900
132,gycd207308146,28,4.8,12.939496,77.625999,12.989496,77.675999,2022-03-24,23:10:00,23:15:00,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen,300
133,wqfy256790455,24,4.9,0.0,0.0,0.04,0.04,2022-03-30,16:35:00,16:50:00,Fog,Medium ,scooter ,Urban ,85,Toys,900
134,vgjr167867003,33,4.4,17.426228,78.407495,17.436228,78.417495,2022-03-05,08:30:00,08:40:00,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics,600
135,jqco336937571,20,4.6,12.934365,77.616155,13.024365,77.706155,2022-03-18,20:35:00,20:50:00,Fog,Jam ,motorcycle ,Metropolitian ,220,Home,900
136,iwkp065421476,31,4.3,11.003669,76.976494,11.063669,77.036494,2022-03-13,23:25:00,23:40:00,Windy,Low ,motorcycle ,Metropolitian ,100,Toys,900
137,nwvu459529234,36,5.0,22.311358,73.164798,22.381358,73.234798,2022-03-31,19:55:00,20:05:00,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes,600
138,jjcl090851660,31,4.2,12.986047,80.218114,13.096047,80.328114,2022-03-23,21:20:00,21:30:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,600
139,bpbi053158546,39,4.1,17.41233,78.449654,17.47233,78.509654,2022-03-24,21:45:00,21:50:00,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics,300
140,ksec432319879,29,4.6,21.17106,72.789292,21.25106,72.869292,2022-03-12,19:40:00,19:55:00,Sunny,Jam ,van,Metropolitian ,85,Outdoors,900
141,rszv454658332,29,4.6,21.186884,72.793616,21.226884,72.833616,2022-03-03,14:50:00,15:00:00,Sandstorms,High ,scooter ,Urban ,115,Apparel,600
142,cdyc438548517,37,4.9,11.026117,76.944652,11.056117,76.974652,2022-03-09,18:10:00,18:20:00,Fog,Medium ,motorcycle ,Metropolitian ,135,Books,600
143,xoka811702118,33,4.7,0.0,0.0,0.04,0.04,2022-03-17,12:20:00,12:30:00,Cloudy,High ,motorcycle ,Urban ,130,Skincare,600
144,nyum131271823,31,3.9,19.065838,72.832658,19.135838,72.902658,2022-03-18,23:40:00,23:50:00,Cloudy,Low ,scooter ,Metropolitian ,175,Pet Supplies,600
145,iwoy649851528,37,4.6,0.0,0.0,0.04,0.04,2022-03-19,12:50:00,12:55:00,Windy,High ,motorcycle ,Urban ,205,Outdoors,300
146,lhus187289759,26,4.4,12.98041,77.640489,13.04041,77.700489,2022-03-07,23:20:00,23:30:00,Sandstorms,Low ,motorcycle ,Other,115,Toys,600
147,szbb646301545,24,4.6,11.022477,76.995667,11.132477,77.105667,2022-03-04,17:50:00,18:00:00,Stormy,Medium ,motorcycle ,Metropolitian ,150,Clothing,600
148,bwgn919229310,23,4.8,0.0,0.0,0.02,0.02,2022-04-03,10:25:00,10:35:00,Windy,Low ,scooter ,Metropolitian ,95,Pet Supplies,600
149,pdxn136638766,36,4.9,0.0,0.0,0.01,0.01,2022-03-11,09:10:00,09:25:00,Windy,Low ,scooter ,Metropolitian ,135,Electronics,900
150,zzsx562940707,39,4.8,12.310972,76.659264,12.350972,76.699264,2022-04-01,12:30:00,12:45:00,Cloudy,High ,motorcycle ,Metropolitian ,140,Cosmetics,900
151,gyvm380029078,20,4.7,11.025083,77.015393,11.105083,77.095393,2022-03-20,17:10:00,17:20:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,Toys,600
152,umwc109456087,20,5.0,12.316967,76.603067,12.446967,76.733067,2022-03-31,19:15:00,19:30:00,Cloudy,Jam ,motorcycle ,Urban ,180,Sports,900
153,dsbe906886027,29,4.3,22.538731,88.364878,22.598731,88.424878,2022-02-13,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Cosmetics,300
154,xnzb532907287,36,4.8,11.001753,76.986241,11.111753,77.096241,2022-03-29,18:45:00,18:50:00,Fog,Medium ,motorcycle ,Urban ,155,Snacks,300
155,ltrp525870768,36,4.0,22.310237,73.158921,22.400237,73.248921,2022-03-16,20:40:00,20:45:00,Sunny,Jam ,motorcycle ,Metropolitian ,220,Skincare,300
156,rbzk606295253,22,4.8,23.359033,85.325347,23.439033,85.405347,2022-03-14,22:10:00,22:25:00,Windy,Low ,scooter ,Metropolitian ,75,Cosmetics,900
157,ltoi660207512,38,4.4,18.593481,73.785901,18.663481,73.855901,2022-03-31,17:20:00,17:25:00,Windy,Medium ,motorcycle ,Metropolitian ,165,Toys,300
158,pkhq469939766,39,4.9,21.186438,72.794115,21.236438,72.844115,2022-03-17,19:55:00,20:10:00,Fog,Jam ,motorcycle ,Metropolitian ,150,Cosmetics,900
159,jgbc287273591,24,4.9,22.725748,75.898497,22.775748,75.948497,2022-03-28,18:15:00,18:25:00,Stormy,Medium ,scooter ,Metropolitian ,110,Outdoors,600
