lead_time,portuguese
100,Non Portuguese
33,Portuguese
97,Non Portuguese
80,Non Portuguese
90,Non Portuguese
111,Non Portuguese
65,Portuguese
67,Portuguese
55,Non Portuguese
21,Portuguese
0,Non Portuguese
0,Portuguese
0,Non Portuguese
8,Non Portuguese
66,Portuguese
88,Non Portuguese
0,Non Portuguese
43,Portuguese
88,Portuguese
54,Non Portuguese
292,Portuguese
112,Non Portuguese
68,Non Portuguese
7,Portuguese
1,Non Portuguese
113,Portuguese
5,Non Portuguese
83,Portuguese
105,Portuguese
0,Portuguese
1,Portuguese
1,Portuguese
1,Non Portuguese
102,Portuguese
113,Portuguese
280,Portuguese
96,Non Portuguese
394,Non Portuguese
33,Portuguese
82,Non Portuguese
100,Non Portuguese
100,Non Portuguese
17,Portuguese
68,Non Portuguese
12,Portuguese
77,Portuguese
24,Portuguese
44,Portuguese
78,Portuguese
17,Portuguese
103,Portuguese
16,Non Portuguese
14,Non Portuguese
77,Non Portuguese
90,Non Portuguese
90,Non Portuguese
90,Non Portuguese
366,Non Portuguese
249,Portuguese
69,Portuguese
10,Non Portuguese
22,Portuguese
91,Portuguese
23,Portuguese
11,Portuguese
3,Portuguese
13,Portuguese
108,Portuguese
91,Portuguese
37,Non Portuguese
21,Non Portuguese
106,Non Portuguese
30,Portuguese
30,Portuguese
51,Portuguese
79,Non Portuguese
21,Portuguese
35,Non Portuguese
78,Portuguese
31,Portuguese
78,Portuguese
78,Portuguese
44,Non Portuguese
34,Non Portuguese
87,Portuguese
11,Portuguese
115,Non Portuguese
86,Portuguese
41,Non Portuguese
32,Non Portuguese
34,Non Portuguese
34,Non Portuguese
100,Portuguese
44,Non Portuguese
304,Portuguese
36,Portuguese
117,Portuguese
70,Non Portuguese
110,Portuguese
109,Portuguese
33,Non Portuguese
33,Portuguese
33,Non Portuguese
0,Non Portuguese
0,Non Portuguese
0,Non Portuguese
0,Non Portuguese
84,Portuguese
71,Non Portuguese
16,Non Portuguese
54,Portuguese
8,Non Portuguese
36,Portuguese
40,Portuguese
59,Portuguese
79,Portuguese
32,Portuguese
110,Portuguese
33,Portuguese
53,Non Portuguese
2,Portuguese
8,Portuguese
72,Portuguese
12,Non Portuguese
48,Non Portuguese
90,Portuguese
34,Non Portuguese
58,Portuguese
59,Non Portuguese
90,Portuguese
116,Portuguese
31,Non Portuguese
51,Portuguese
48,Non Portuguese
59,Non Portuguese
97,Portuguese
12,Non Portuguese
64,Portuguese
31,Non Portuguese
59,Non Portuguese
81,Non Portuguese
1,Portuguese
34,Non Portuguese
13,Non Portuguese
40,Non Portuguese
1,Non Portuguese
34,Non Portuguese
88,Non Portuguese
9,Non Portuguese
24,Portuguese
97,Non Portuguese
60,Non Portuguese
100,Non Portuguese
50,Non Portuguese
47,Portuguese
8,Non Portuguese
34,Non Portuguese
47,Non Portuguese
115,Portuguese
79,Portuguese
91,Non Portuguese
98,Non Portuguese
109,Non Portuguese
0,Non Portuguese
98,Non Portuguese
0,Portuguese
9,Non Portuguese
62,Non Portuguese
45,Portuguese
42,Non Portuguese
54,Portuguese
51,Non Portuguese
54,Portuguese
58,Non Portuguese
0,Portuguese
60,Portuguese
321,Portuguese
40,Non Portuguese
51,Portuguese
38,Portuguese
75,Portuguese
101,Portuguese
42,Portuguese
40,Non Portuguese
109,Portuguese
81,Portuguese
98,Portuguese
32,Portuguese
72,Non Portuguese
115,Portuguese
118,Portuguese
81,Non Portuguese
95,Portuguese
16,Non Portuguese
56,Non Portuguese
88,Non Portuguese
41,Non Portuguese
40,Portuguese
1,Portuguese
1,Portuguese
1,Portuguese
76,Portuguese
0,Non Portuguese
49,Non Portuguese
76,Portuguese
73,Portuguese
73,Portuguese
317,Portuguese
112,Portuguese
6,Non Portuguese
8,Non Portuguese
96,Portuguese
96,Portuguese
99,Non Portuguese
66,Non Portuguese
38,Non Portuguese
38,Non Portuguese
113,Portuguese
0,Portuguese
62,Portuguese
39,Portuguese
37,Non Portuguese
58,Portuguese
37,Non Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
83,Non Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
57,Portuguese
66,Portuguese
13,Non Portuguese
50,Non Portuguese
48,Portuguese
0,Portuguese
7,Non Portuguese
0,Portuguese
66,Portuguese
13,Portuguese
66,Non Portuguese
10,Non Portuguese
10,Portuguese
58,Portuguese
17,Portuguese
19,Non Portuguese
10,Non Portuguese
12,Portuguese
10,Non Portuguese
63,Portuguese
35,Portuguese
113,Portuguese
35,Portuguese
68,Non Portuguese
113,Portuguese
21,Portuguese
7,Portuguese
17,Portuguese
1,Portuguese
2,Portuguese
15,Portuguese
7,Portuguese
11,Non Portuguese
6,Portuguese
1,Portuguese
1,Non Portuguese
48,Portuguese
15,Portuguese
3,Portuguese
23,Portuguese
53,Portuguese
53,Portuguese
94,Non Portuguese
64,Portuguese
53,Portuguese
53,Portuguese
64,Portuguese
53,Portuguese
24,Portuguese
24,Portuguese
23,Non Portuguese
53,Non Portuguese
23,Portuguese
90,Portuguese
79,Portuguese
43,Non Portuguese
90,Portuguese
65,Non Portuguese
65,Non Portuguese
99,Non Portuguese
25,Non Portuguese
92,Non Portuguese
91,Non Portuguese
38,Portuguese
6,Non Portuguese
38,Non Portuguese
13,Non Portuguese
32,Portuguese
315,Non Portuguese
8,Non Portuguese
0,Portuguese
91,Non Portuguese
3,Non Portuguese
9,Portuguese
19,Non Portuguese
25,Portuguese
108,Non Portuguese
37,Portuguese
45,Portuguese
64,Portuguese
44,Portuguese
26,Portuguese
96,Portuguese
123,Portuguese
42,Portuguese
59,Portuguese
28,Non Portuguese
106,Portuguese
1,Portuguese
0,Portuguese
4,Portuguese
3,Non Portuguese
73,Portuguese
44,Non Portuguese
95,Portuguese
94,Portuguese
40,Portuguese
64,Portuguese
64,Portuguese
94,Portuguese
57,Non Portuguese
60,Portuguese
57,Non Portuguese
87,Non Portuguese
0,Portuguese
0,Portuguese
6,Non Portuguese
0,Portuguese
19,Portuguese
4,Portuguese
59,Portuguese
44,Portuguese
37,Portuguese
66,Portuguese
38,Portuguese
62,Portuguese
41,Non Portuguese
60,Portuguese
104,Non Portuguese
62,Portuguese
117,Non Portuguese
31,Portuguese
34,Non Portuguese
47,Portuguese
24,Portuguese
104,Portuguese
104,Non Portuguese
32,Non Portuguese
47,Portuguese
29,Non Portuguese
30,Non Portuguese
123,Non Portuguese
14,Portuguese
118,Portuguese
79,Portuguese
63,Portuguese
68,Non Portuguese
96,Portuguese
41,Portuguese
46,Non Portuguese
41,Portuguese
60,Portuguese
41,Non Portuguese
69,Portuguese
41,Portuguese
52,Portuguese
41,Portuguese
89,Non Portuguese
28,Portuguese
65,Non Portuguese
82,Portuguese
42,Non Portuguese
62,Non Portuguese
86,Portuguese
118,Portuguese
28,Portuguese
52,Portuguese
49,Portuguese
39,Portuguese
39,Portuguese
39,Portuguese
7,Portuguese
7,Portuguese
42,Portuguese
5,Portuguese
81,Portuguese
63,Portuguese
61,Portuguese
8,Portuguese
89,Portuguese
57,Non Portuguese
102,Non Portuguese
108,Portuguese
28,Non Portuguese
29,Non Portuguese
0,Non Portuguese
96,Portuguese
44,Portuguese
44,Non Portuguese
44,Portuguese
44,Portuguese
41,Portuguese
3,Portuguese
0,Portuguese
55,Portuguese
33,Non Portuguese
19,Portuguese
55,Portuguese
33,Non Portuguese
19,Portuguese
19,Portuguese
117,Non Portuguese
72,Portuguese
19,Portuguese
34,Non Portuguese
9,Non Portuguese
8,Non Portuguese
36,Portuguese
22,Non Portuguese
22,Non Portuguese
22,Non Portuguese
36,Portuguese
22,Non Portuguese
22,Portuguese
18,Non Portuguese
8,Non Portuguese
67,Portuguese
105,Portuguese
1,Non Portuguese
67,Portuguese
39,Non Portuguese
45,Portuguese
45,Portuguese
14,Non Portuguese
53,Portuguese
28,Non Portuguese
55,Non Portuguese
55,Non Portuguese
25,Portuguese
43,Portuguese
109,Portuguese
62,Portuguese
25,Portuguese
43,Non Portuguese
35,Non Portuguese
42,Portuguese
312,Portuguese
47,Portuguese
40,Non Portuguese
11,Non Portuguese
39,Non Portuguese
39,Portuguese
1,Portuguese
12,Portuguese
16,Portuguese
16,Portuguese
12,Non Portuguese
51,Portuguese
67,Non Portuguese
52,Portuguese
25,Non Portuguese
94,Non Portuguese
54,Portuguese
33,Portuguese
47,Portuguese
43,Non Portuguese
87,Portuguese
54,Portuguese
32,Portuguese
29,Portuguese
96,Portuguese
100,Portuguese
54,Portuguese
75,Portuguese
31,Portuguese
25,Portuguese
61,Non Portuguese
60,Non Portuguese
31,Portuguese
107,Portuguese
31,Portuguese
115,Portuguese
59,Non Portuguese
85,Portuguese
0,Portuguese
299,Portuguese
50,Portuguese
50,Portuguese
88,Portuguese
116,Portuguese
47,Non Portuguese
48,Non Portuguese
54,Portuguese
33,Portuguese
73,Portuguese
54,Portuguese
33,Portuguese
38,Non Portuguese
34,Non Portuguese
130,Portuguese
39,Portuguese
39,Portuguese
45,Non Portuguese
48,Portuguese
59,Portuguese
48,Portuguese
48,Portuguese
48,Portuguese
48,Portuguese
96,Portuguese
51,Non Portuguese
96,Portuguese
41,Portuguese
6,Non Portuguese
27,Portuguese
28,Non Portuguese
30,Portuguese
45,Non Portuguese
52,Portuguese
31,Non Portuguese
74,Portuguese
31,Portuguese
87,Portuguese
48,Portuguese
41,Portuguese
35,Portuguese
28,Portuguese
77,Portuguese
33,Portuguese
30,Portuguese
34,Portuguese
298,Portuguese
35,Non Portuguese
40,Portuguese
101,Portuguese
101,Portuguese
101,Portuguese
101,Portuguese
38,Non Portuguese
76,Non Portuguese
70,Non Portuguese
70,Non Portuguese
68,Portuguese
63,Portuguese
11,Portuguese
32,Non Portuguese
29,Non Portuguese
47,Portuguese
50,Portuguese
29,Portuguese
36,Non Portuguese
49,Non Portuguese
70,Portuguese
110,Non Portuguese
119,Portuguese
30,Portuguese
29,Portuguese
71,Non Portuguese
37,Portuguese
40,Portuguese
37,Portuguese
0,Portuguese
37,Portuguese
37,Portuguese
97,Non Portuguese
71,Portuguese
118,Portuguese
102,Non Portuguese
54,Portuguese
58,Portuguese
34,Non Portuguese
105,Portuguese
47,Portuguese
15,Portuguese
37,Non Portuguese
0,Portuguese
8,Portuguese
17,Non Portuguese
3,Portuguese
30,Portuguese
31,Portuguese
66,Portuguese
52,Non Portuguese
20,Non Portuguese
30,Portuguese
31,Portuguese
62,Portuguese
65,Portuguese
64,Portuguese
77,Portuguese
75,Non Portuguese
75,Non Portuguese
62,Portuguese
0,Portuguese
25,Portuguese
16,Portuguese
16,Portuguese
16,Portuguese
4,Portuguese
4,Portuguese
25,Portuguese
83,Portuguese
4,Portuguese
56,Portuguese
32,Portuguese
32,Portuguese
0,Portuguese
18,Portuguese
23,Portuguese
39,Portuguese
18,Portuguese
18,Portuguese
23,Portuguese
286,Non Portuguese
72,Portuguese
136,Portuguese
58,Non Portuguese
80,Non Portuguese
113,Non Portuguese
129,Portuguese
84,Portuguese
84,Portuguese
89,Portuguese
10,Portuguese
80,Portuguese
10,Portuguese
10,Portuguese
24,Portuguese
1,Portuguese
9,Portuguese
3,Portuguese
3,Non Portuguese
124,Portuguese
74,Portuguese
82,Portuguese
91,Portuguese
77,Portuguese
130,Portuguese
91,Portuguese
79,Portuguese
130,Portuguese
66,Portuguese
53,Portuguese
80,Portuguese
77,Portuguese
57,Portuguese
11,Portuguese
25,Portuguese
2,Portuguese
36,Portuguese
36,Portuguese
115,Portuguese
95,Portuguese
67,Portuguese
60,Portuguese
34,Non Portuguese
78,Non Portuguese
93,Portuguese
327,Portuguese
0,Portuguese
47,Portuguese
81,Portuguese
52,Portuguese
13,Portuguese
83,Non Portuguese
131,Portuguese
460,Non Portuguese
82,Portuguese
61,Portuguese
0,Portuguese
36,Portuguese
61,Portuguese
13,Portuguese
13,Portuguese
15,Portuguese
14,Non Portuguese
13,Portuguese
140,Non Portuguese
6,Non Portuguese
140,Portuguese
81,Non Portuguese
0,Portuguese
2,Non Portuguese
0,Portuguese
114,Portuguese
111,Portuguese
44,Non Portuguese
139,Portuguese
57,Portuguese
16,Portuguese
139,Portuguese
84,Portuguese
117,Portuguese
69,Portuguese
2,Non Portuguese
118,Portuguese
129,Portuguese
9,Non Portuguese
52,Portuguese
65,Non Portuguese
7,Portuguese
28,Portuguese
3,Non Portuguese
87,Non Portuguese
51,Non Portuguese
136,Non Portuguese
1,Portuguese
49,Portuguese
4,Non Portuguese
45,Portuguese
6,Portuguese
4,Non Portuguese
53,Portuguese
52,Portuguese
4,Portuguese
98,Portuguese
46,Portuguese
122,Portuguese
83,Non Portuguese
16,Non Portuguese
43,Portuguese
73,Portuguese
116,Portuguese
113,Portuguese
113,Portuguese
51,Portuguese
65,Non Portuguese
0,Non Portuguese
87,Portuguese
106,Portuguese
5,Non Portuguese
98,Non Portuguese
78,Portuguese
4,Portuguese
5,Non Portuguese
3,Non Portuguese
85,Non Portuguese
137,Portuguese
67,Portuguese
54,Portuguese
87,Portuguese
54,Portuguese
12,Portuguese
60,Portuguese
75,Portuguese
54,Portuguese
126,Portuguese
54,Portuguese
84,Portuguese
106,Portuguese
136,Non Portuguese
98,Portuguese
91,Portuguese
58,Portuguese
61,Non Portuguese
0,Portuguese
5,Portuguese
2,Portuguese
9,Portuguese
10,Portuguese
62,Non Portuguese
34,Non Portuguese
82,Non Portuguese
65,Portuguese
129,Portuguese
55,Non Portuguese
122,Portuguese
41,Portuguese
41,Portuguese
81,Non Portuguese
59,Non Portuguese
72,Portuguese
68,Portuguese
81,Non Portuguese
72,Portuguese
68,Non Portuguese
127,Portuguese
127,Portuguese
68,Portuguese
47,Portuguese
19,Non Portuguese
72,Portuguese
30,Non Portuguese
139,Portuguese
112,Non Portuguese
63,Portuguese
35,Non Portuguese
75,Portuguese
136,Portuguese
35,Portuguese
63,Portuguese
77,Portuguese
62,Portuguese
95,Portuguese
101,Portuguese
38,Portuguese
60,Portuguese
60,Portuguese
76,Non Portuguese
87,Portuguese
31,Portuguese
74,Portuguese
120,Portuguese
120,Portuguese
120,Portuguese
116,Portuguese
83,Portuguese
80,Non Portuguese
27,Portuguese
78,Portuguese
117,Portuguese
70,Portuguese
85,Portuguese
117,Portuguese
22,Portuguese
34,Portuguese
68,Non Portuguese
69,Portuguese
85,Portuguese
102,Portuguese
31,Portuguese
49,Portuguese
84,Non Portuguese
102,Portuguese
66,Non Portuguese
80,Portuguese
85,Portuguese
33,Portuguese
1,Portuguese
33,Portuguese
47,Non Portuguese
2,Portuguese
22,Portuguese
22,Portuguese
55,Portuguese
68,Portuguese
128,Portuguese
128,Non Portuguese
128,Non Portuguese
78,Portuguese
85,Portuguese
0,Non Portuguese
9,Non Portuguese
1,Non Portuguese
9,Portuguese
120,Portuguese
72,Portuguese
23,Non Portuguese
8,Portuguese
47,Non Portuguese
8,Portuguese
135,Non Portuguese
76,Non Portuguese
15,Portuguese
23,Portuguese
87,Non Portuguese
19,Portuguese
21,Portuguese
19,Portuguese
23,Portuguese
89,Portuguese
0,Non Portuguese
0,Portuguese
0,Portuguese
0,Portuguese
0,Non Portuguese
38,Non Portuguese
21,Non Portuguese
34,Portuguese
51,Portuguese
38,Non Portuguese
0,Portuguese
84,Portuguese
63,Portuguese
7,Portuguese
91,Portuguese
81,Portuguese
6,Non Portuguese
64,Portuguese
52,Portuguese
22,Portuguese
150,Non Portuguese
64,Non Portuguese
22,Portuguese
3,Portuguese
68,Portuguese
35,Portuguese
2,Non Portuguese
68,Portuguese
11,Portuguese
80,Portuguese
80,Portuguese
72,Non Portuguese
80,Portuguese
77,Portuguese
80,Portuguese
31,Portuguese
77,Portuguese
93,Non Portuguese
31,Portuguese
89,Portuguese
68,Portuguese
72,Portuguese
65,Portuguese
71,Portuguese
65,Portuguese
89,Portuguese
98,Portuguese
26,Portuguese
67,Portuguese
54,Portuguese
75,Non Portuguese
78,Portuguese
53,Portuguese
65,Portuguese
84,Portuguese
47,Portuguese
37,Portuguese
37,Portuguese
4,Portuguese
37,Portuguese
37,Portuguese
12,Portuguese
0,Non Portuguese
37,Portuguese
37,Portuguese
2,Non Portuguese
12,Portuguese
12,Portuguese
11,Portuguese
143,Portuguese
99,Portuguese
22,Portuguese
15,Portuguese
15,Portuguese
66,Portuguese
55,Portuguese
66,Portuguese
79,Portuguese
66,Portuguese
95,Portuguese
151,Portuguese
54,Portuguese
122,Portuguese
132,Portuguese
58,Portuguese
98,Portuguese
126,Portuguese
97,Portuguese
96,Portuguese
125,Portuguese
80,Non Portuguese
110,Portuguese
157,Portuguese
108,Portuguese
74,Non Portuguese
79,Portuguese
79,Portuguese
116,Portuguese
80,Portuguese
116,Portuguese
93,Portuguese
87,Portuguese
13,Portuguese
56,Portuguese
1,Portuguese
13,Portuguese
13,Portuguese
56,Portuguese
81,Portuguese
24,Portuguese
57,Portuguese
74,Non Portuguese
126,Portuguese
126,Portuguese
126,Portuguese
147,Portuguese
68,Portuguese
57,Non Portuguese
10,Portuguese
92,Non Portuguese
92,Non Portuguese
1,Non Portuguese
91,Non Portuguese
33,Portuguese
16,Non Portuguese
128,Non Portuguese
61,Non Portuguese
23,Portuguese
23,Portuguese
29,Portuguese
98,Portuguese
23,Portuguese
98,Non Portuguese
138,Portuguese
82,Portuguese
100,Portuguese
0,Non Portuguese
65,Non Portuguese
64,Non Portuguese
56,Portuguese
94,Portuguese
58,Portuguese
80,Non Portuguese
40,Portuguese
102,Non Portuguese
16,Non Portuguese
24,Non Portuguese
24,Non Portuguese
18,Portuguese
95,Portuguese
36,Portuguese
16,Portuguese
50,Non Portuguese
76,Non Portuguese
112,Non Portuguese
16,Portuguese
51,Non Portuguese
13,Portuguese
22,Portuguese
32,Non Portuguese
51,Non Portuguese
65,Non Portuguese
63,Portuguese
35,Non Portuguese
37,Non Portuguese
35,Non Portuguese
71,Portuguese
71,Non Portuguese
77,Non Portuguese
0,Portuguese
21,Portuguese
87,Portuguese
54,Portuguese
156,Portuguese
46,Portuguese
46,Portuguese
72,Portuguese
85,Portuguese
36,Non Portuguese
65,Portuguese
68,Portuguese
46,Portuguese
22,Portuguese
12,Portuguese
42,Portuguese
72,Portuguese
112,Portuguese
85,Portuguese
102,Portuguese
80,Portuguese
72,Portuguese
151,Portuguese
99,Portuguese
151,Portuguese
66,Portuguese
44,Portuguese
46,Portuguese
70,Portuguese
92,Non Portuguese
6,Non Portuguese
23,Portuguese
79,Portuguese
41,Portuguese
58,Portuguese
62,Non Portuguese
83,Portuguese
82,Portuguese
69,Non Portuguese
64,Portuguese
116,Portuguese
20,Non Portuguese
132,Portuguese
33,Portuguese
62,Non Portuguese
127,Portuguese
78,Portuguese
29,Portuguese
78,Portuguese
31,Portuguese
9,Portuguese
59,Non Portuguese
40,Portuguese
0,Portuguese
30,Portuguese
0,Portuguese
35,Portuguese
84,Non Portuguese
25,Portuguese
103,Portuguese
35,Portuguese
26,Portuguese
55,Portuguese
76,Non Portuguese
102,Portuguese
58,Portuguese
11,Portuguese
33,Portuguese
11,Portuguese
61,Portuguese
89,Portuguese
89,Portuguese
37,Non Portuguese
70,Portuguese
54,Portuguese
69,Non Portuguese
71,Portuguese
49,Portuguese
50,Portuguese
74,Portuguese
74,Portuguese
118,Portuguese
42,Portuguese
77,Portuguese
84,Portuguese
43,Non Portuguese
73,Portuguese
73,Portuguese
0,Non Portuguese
2,Portuguese
2,Portuguese
0,Portuguese
76,Non Portuguese
41,Portuguese
41,Portuguese
44,Portuguese
93,Portuguese
106,Portuguese
57,Portuguese
29,Portuguese
1,Portuguese
41,Portuguese
90,Non Portuguese
57,Portuguese
57,Portuguese
41,Portuguese
61,Portuguese
49,Non Portuguese
57,Portuguese
31,Portuguese
62,Portuguese
43,Non Portuguese
27,Non Portuguese
106,Portuguese
45,Non Portuguese
106,Portuguese
108,Portuguese
49,Non Portuguese
10,Non Portuguese
108,Portuguese
30,Non Portuguese
164,Portuguese
164,Portuguese
164,Portuguese
0,Portuguese
46,Portuguese
31,Non Portuguese
34,Portuguese
66,Portuguese
4,Portuguese
23,Non Portuguese
31,Non Portuguese
32,Non Portuguese
42,Portuguese
30,Portuguese
30,Portuguese
10,Portuguese
11,Portuguese
11,Portuguese
8,Non Portuguese
39,Portuguese
4,Portuguese
34,Portuguese
55,Portuguese
25,Non Portuguese
106,Portuguese
30,Non Portuguese
1,Portuguese
22,Portuguese
42,Portuguese
67,Non Portuguese
35,Portuguese
21,Portuguese
50,Non Portuguese
28,Non Portuguese
30,Non Portuguese
127,Portuguese
29,Portuguese
66,Non Portuguese
59,Portuguese
28,Portuguese
59,Portuguese
0,Non Portuguese
47,Portuguese
47,Non Portuguese
47,Portuguese
57,Portuguese
1,Portuguese
4,Portuguese
32,Portuguese
24,Portuguese
11,Portuguese
136,Portuguese
2,Portuguese
54,Portuguese
87,Portuguese
98,Portuguese
9,Portuguese
2,Portuguese
11,Portuguese
11,Portuguese
69,Portuguese
37,Non Portuguese
103,Non Portuguese
5,Non Portuguese
34,Non Portuguese
44,Non Portuguese
83,Non Portuguese
83,Non Portuguese
72,Portuguese
143,Portuguese
47,Portuguese
104,Portuguese
25,Portuguese
82,Non Portuguese
104,Portuguese
346,Portuguese
0,Non Portuguese
35,Portuguese
34,Non Portuguese
83,Non Portuguese
41,Non Portuguese
26,Non Portuguese
143,Portuguese
26,Non Portuguese
0,Portuguese
42,Portuguese
6,Non Portuguese
28,Non Portuguese
26,Portuguese
10,Portuguese
59,Portuguese
159,Portuguese
124,Portuguese
60,Portuguese
26,Non Portuguese
160,Non Portuguese
68,Non Portuguese
38,Portuguese
47,Portuguese
48,Portuguese
48,Non Portuguese
27,Portuguese
71,Portuguese
85,Portuguese
132,Portuguese
50,Portuguese
122,Portuguese
64,Portuguese
48,Portuguese
0,Portuguese
14,Portuguese
5,Portuguese
161,Portuguese
62,Portuguese
161,Portuguese
333,Portuguese
27,Non Portuguese
73,Portuguese
123,Non Portuguese
27,Portuguese
97,Portuguese
73,Non Portuguese
97,Portuguese
27,Non Portuguese
27,Non Portuguese
27,Portuguese
140,Portuguese
62,Non Portuguese
381,Non Portuguese
0,Portuguese
149,Portuguese
1,Portuguese
149,Portuguese
4,Non Portuguese
104,Non Portuguese
104,Non Portuguese
68,Portuguese
4,Non Portuguese
71,Portuguese
149,Portuguese
1,Non Portuguese
55,Portuguese
154,Non Portuguese
154,Non Portuguese
57,Non Portuguese
154,Non Portuguese
29,Portuguese
154,Non Portuguese
154,Non Portuguese
154,Portuguese
6,Non Portuguese
29,Portuguese
29,Portuguese
29,Non Portuguese
29,Portuguese
297,Non Portuguese
52,Portuguese
92,Non Portuguese
52,Portuguese
56,Non Portuguese
65,Non Portuguese
50,Non Portuguese
163,Non Portuguese
48,Portuguese
327,Non Portuguese
0,Non Portuguese
1,Portuguese
1,Non Portuguese
0,Non Portuguese
14,Non Portuguese
88,Non Portuguese
105,Portuguese
0,Non Portuguese
77,Portuguese
15,Portuguese
29,Portuguese
28,Portuguese
23,Portuguese
28,Non Portuguese
3,Non Portuguese
28,Portuguese
0,Portuguese
4,Portuguese
63,Non Portuguese
67,Non Portuguese
29,Portuguese
73,Non Portuguese
51,Non Portuguese
150,Non Portuguese
23,Portuguese
67,Non Portuguese
30,Portuguese
15,Portuguese
68,Portuguese
47,Portuguese
47,Portuguese
74,Portuguese
26,Non Portuguese
25,Non Portuguese
71,Portuguese
314,Portuguese
54,Non Portuguese
74,Portuguese
74,Non Portuguese
26,Non Portuguese
94,Portuguese
54,Portuguese
52,Non Portuguese
47,Non Portuguese
74,Portuguese
1,Portuguese
50,Portuguese
155,Portuguese
323,Portuguese
323,Portuguese
340,Non Portuguese
103,Non Portuguese
356,Non Portuguese
40,Portuguese
116,Portuguese
74,Portuguese
25,Non Portuguese
32,Portuguese
12,Portuguese
26,Portuguese
73,Portuguese
26,Portuguese
27,Portuguese
110,Non Portuguese
75,Portuguese
61,Non Portuguese
60,Portuguese
61,Portuguese
57,Portuguese
61,Non Portuguese
47,Non Portuguese
30,Non Portuguese
59,Non Portuguese
78,Portuguese
142,Portuguese
94,Portuguese
69,Portuguese
78,Portuguese
115,Non Portuguese
128,Non Portuguese
90,Portuguese
328,Non Portuguese
136,Portuguese
143,Non Portuguese
90,Non Portuguese
144,Non Portuguese
90,Non Portuguese
35,Portuguese
4,Portuguese
55,Portuguese
0,Portuguese
2,Portuguese
