EXPEDIENTE;PROCEDIMIENTO;OBJETO;DURACIÓN (MESES);IMP. LICITACIÓN (IVA INCLUIDO);IMP. ADJUDICACIÓN (IVA INCLUIDO);ADJUDICATARIO
147/2025/27006;NEGOCIADO SIN PUBLICIDAD;LAS MONJAS” (AGROPECUARIA LAS MONJAS), INCLUIDOS DERECHOS DE MAYORAL, PARA LA CELEBRACIÓN DEL CONCURSO DE RECORTES EL DÍA 6 DE SEPTIEMBRE DE 2025, EN LA PLAZA DE TOROS DE ARGANDA DEL REY.;;;45.193,50 €;AGROPECUARIA LAS MONJAS,S.A.
173/2025/27006;NEGOCIADO SIN PUBLICIDAD;GANADERÍA TOROS DE CONCHA Y SIERRA, S.L. PARA LA ADQUISICIÓN DE 38 RESES PARA SUELTAS, ALQUILER DE BUEYES, TRANSPORTE DE LAS RESES, DERECHOS DE MAYORAL Y ENAJENACIÓN DE LA CARNE DE RESES DE LOS FESTEJOS TAURINOS PROGRAMADOS PARA LA FERIA TAURINA 2025. FIESTAS PATRONALES.;;;281.252,40 €;TOROS DE CONCHA Y SIERRA,S.L.
171/2025/27006;NEGOCIADO SIN PUBLICIDAD;CONTRATACIÓN DE LA GANADERÍA “CANTINUEVO” (ANTONIO GONZALEZ ALARCOS S.A.), INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 16 DE SEPTIEMBRE DE 2025,  EN LA PLAZA DE TOROS DE ARGANDA DEL REY. ;;;10.935,25 €;ANTONIO GONZALEZ ALARCOS,S.A.
183/2025/27006;NEGOCIADO SIN PUBLICIDAD;GANADERÍA “EL FREIXO” (IGNACIO LÓPEZ ESCOBAR) INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 15 DE SEPTIEMBRE DE 2025, EN LA PLAZA DE TOROS DE ARGANDA DEL REY.;;;30.098,15 €;LOPEZ ESCOBAR IGNACIO (Ganaderia el FREIXO)
143/2025/27006;NEGOCIADO SIN PUBLICIDAD;ACTUACIÓN CARLOS BAUTE EL DÍA 7 DE SEPTIEMBRE DE 2025 EN ARGANDA DEL REY CON MOTIVO DE LAS FIESTAS PATRONALES;;;53.482,00 €;PRODUCCIONES MÚLTIPLE,S.L.
178/2025/27006;NEGOCIADO SIN PUBLICIDAD;Actuación de ANTOÑITO MOLINA, Producción Integral del Recinto Ferial y MACRODISCO DJ´s LOCALES - Fiestas Patronales 2025;;;130.680,00 €;PRODUCCIONES MÚLTIPLE,S.L.
64/2025/27006;VARIOS CRITERIOS, ABIERTO CON PUBL.;SERVICIO DE PREVENCIÓN Y CONTROL DE LEGIONELOSIS EN INSTALACIONES MUNICIPLES;12;60.126,41 €;48.552,00 €;DENFOR,E.P.C.,S.L.
165/2022/27006;;CONTRATO DE TELEASISTENCIA DOMICILIARIA - SERVICIOS SOCIALES;12;;70.000,00 €;QUAVITAE SERVICIOS ASISTENCIALES, S.L
66/2025/27006;NEGOCIADO SIN PUBLICIDAD;"ACTUACIÓN ORQUESTA ""PANORAMA CITY"" - FIESTAS PATRONALES  - 12/SEPTIEMBRE 2025";;;29.887,00 €;PANORAMA FACTORY,S.L.
86/2023/27006;;SERVICIO DE VIGILANCIA Y SEGURIDAD DE LOS EDIFICIOS, POLIDEPORTIVOS, COLEGIOS, PARQUES, ACTIVIDADES CULTURALES, FIESTAS Y OTRAS AREAS DEPENDIENTES DEL AYUNTAMIENTO DE ARGANDA DEL REY;24;;904.160,40 €;ESTRELLA VELOZ,S.L.
188/2023/27006;;SERVICIOS DE PRIMEROS DEL COLE, JUEGOS Y MERIENDA EN DIAS LECTIVOS Y ACOGIDA TEMPRANA EN DÍAS NO LECTIVOS Y PERIODOS VACACIONALES.;12;;540.000,00 €;CULTURAL ACTEX,S.L.
212/2023/27006;;SERVICIO DE MANTENIMIENTO DE SISTEMAS DE COMUNICACIONES VOZ/DATOS DEL AYTO DE ARGANDA;12;;33.275,00 €;MAINTENANCE DEVELOPMENTE,S.A.
24/2025/27006;VARIOS CRITERIOS, ABIERTO SIMPLIFICADO  CON PUBL.;SUMINISTRO DE MATERIAL DE OFICINA Y PAPELERÍA PARA EL AYUNTAMIENTO DE ARGANDA DEL REY (2025-26).;12;24.200,00 €;24.200,00 €;SUMOSA MUNDOCOP,S.L.
277/2023/27006;VARIOS CRITERIOS, ABIERTO ARMONIZADO  CON PUBL.;SUMINISTRO CON MANTENIMIENTO DE MAQUINARIA, DISEÑO Y DISTRIBUCIÓN SALAS FITNESS DE LAS INSTALACIONES DEPORTIVAS MUNICIPALES DEL AYUNTAMIENTO DE ARGANDA DEL REY;60;1.633.500,00 €;1.294.004,98 €;EXERCICLE,S.L.
51/2025/27006;VARIOS CRITERIOS, ABIERTO SIMPLIFICADO  CON PUBL.;SUMINISTRO E INSTALACION DE ILUMINACIÓN ORNAMENTAL CON MOTIVO DE LAS FIESTAS DE LA POVEDA, SAN JUAN, SANTIAGO, SAN ROQUE, PATRONALES Y FIESTAS DE NAVIDAD DE ARGANDA DEL REY (2025-2027);24;936.210,88 €;936.210,88 €;ILUMINACIONES XIMÉNEZ,S.A.
138/2025/27006;CONTRATO BASADO ACUERDO MARCO DE MUNICIPIOS;CONTRATO PARA LA PRESTACIÓN DEL SERVICIO DE ASISTENCIA TÉCNICA Y COLABORACIÓN PARA LA GESTIÓN Y RECAUDACIÓN VOLUNTARIA DE MULTAS DE TRÁFICO Y OTRAS SANCIONES DE CARÁCTER NO TRIBUTARIO NI URBANÍSTICO A RESIDENTES EN ESPAÑA.;12;31.772,30 €;31.772,30 €;UTE VIALINE GESTION S.L.U.-ITM INSTALACIONES Y MANTENIMIENTO DE TELECOMUNICACIONES S.L.U.
194-2023-27006;VARIOS CRITERIOS, ABIERTO SIMPLIFICADO, CON PUBL.;SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS SISTEMAS DE DETECCIÓN, EXTINCIÓN Y PROTECCIÓN CONTRA INCENDIOS INSTALADOS EN CENTROS DE EDUCACIÓN INFANTIL Y PRIMARIA DE ARGANDA DEL REY Y EN EDIFICIOS MUNICIPALES DEL AYUNTAMIENTO DE ARGANDA DEL REY (MADRID). (2023-2025) LOTE 1 ;24;;9.281,45 €;FERMALUX, S.L.
194-2023-27006;;SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS SISTEMAS DE DETECCIÓN, EXTINCIÓN Y PROTECCIÓN CONTRA INCENDIOS INSTALADOS EN CENTROS DE EDUCACIÓN INFANTIL Y PRIMARIA DE ARGANDA DEL REY Y EN EDIFICIOS MUNICIPALES DEL AYUNTAMIENTO DE ARGANDA DEL REY (MADRID). (2023-2025) LOTE 2;12;;19.174,26 €;FERMALUX, S.L.
292/2023/27006;PRIVADO;ARRENDAMIENTO DE SOLAR PARA APARCAMIENTO EN C/ CARRETAS, 13.;12;;61.020,00 €;CONCEPCIÓN ANDRÉS OUTÓN,   MARÍA ANTONIA ANDRÉS OUTÓN, MANUEL ANDRÉS CARMONA, FRANCISCO JAVIER ANDRÉS CARMONA ,JORGE ANDRÉS CARMONA,JORGE ANDRÉS CARMONA, FRANCISCO JAVIER ANDRÉS CARMONA 
146/2025/27006;NEGOCIADO SIN PUBLICIDAD;CONTRATACIÓN DE LA GANADERÍA “EL RETAMAR” (DEHESA EL VALLEJO S.L.), INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 12 DE SEPTIEMBRE DE 2025,  EN LA PLAZA DE TOROS DE ARGANDA DEL REY. ;;;24.630,76 €;DEHESA EL VALLEJO,S.L.
176/2025/27006;NEGOCIADO SIN PUBLICIDAD;CONTRATACIÓN DE LA GANADERÍA “LOS BAYONES” (SAT Nº 2817 HERIHER .), INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 8 DE SEPTIEMBRE DE 2025,  EN LA PLAZA DE TOROS DE ARGANDA DEL REY. ;;;24.356,88 €;S.A.T. Nº 2817 HERIHER Ganaderia Los Bayones
120/2025/27006;ABREVIADO SIMPLIFICADO;MANTENIMIENTO Y SOPORTE DE ASISTENCIA TÉCNICA  ORACLE  PARA EL AYUNTAMIENTO DE ARGANDA DEL REY.;24;18.150,00 €;14.833,00 €;GESTION DE PROYECTOS Y SOLUCIONES OPEN SOURCE 
